0 1:0.272176 2:-1.43199
0 1:2.08389 2:-3.21063
0 1:1.30302 2:2.57825
0 1:-0.173868 2:-0.528786
0 1:1.04673 2:-0.799846
0 1:0.346392 2:0.402671
0 1:2.22286 2:1.49807
0 1:0.54474 2:1.71905
0 1:0.587577 2:-0.889786
0 1:-2.58221 2:0.462231
0 1:3.88833 2:0.0834762
0 1:0.472169 2:1.01633
0 1:-0.794062 2:-3.04444
0 1:-2.25382 2:-1.95887
0 1:-0.740706 2:1.75301
0 1:0.905957 2:4.14984
0 1:-0.0391822 2:1.16726
0 1:-3.16089 2:-0.358009
0 1:-2.80678 2:3.45747
0 1:-1.13339 2:0.034297
0 1:-2.7195 2:1.89648
0 1:-0.4293 2:0.0353103
0 1:1.31979 2:-0.159827
0 1:-2.05187 2:-0.0954005
0 1:-0.331038 2:0.265411
0 1:1.38153 2:-1.53068
0 1:1.46375 2:3.79501
0 1:2.47929 2:0.636615
0 1:0.399013 2:-5.31214
0 1:-1.46243 2:0.636989
0 1:-1.74316 2:1.23817
0 1:0.427718 2:0.119023
0 1:2.46348 2:2.39814
0 1:-1.1199 2:-0.953958
0 1:0.188519 2:-0.545939
0 1:-0.446553 2:-0.98546
0 1:1.14423 2:1.13921
0 1:2.32386 2:1.49209
0 1:2.00139 2:-4.72984
0 1:-2.26845 2:2.29002
0 1:0.122601 2:0.98294
0 1:2.95205 2:-2.03708
0 1:-0.465244 2:-0.83317
0 1:1.5281 2:-3.0321
0 1:-0.657394 2:-1.67473
0 1:-2.32067 2:-1.9094
0 1:-2.61879 2:3.6141
0 1:-0.045916 2:-3.03213
0 1:1.48354 2:-0.618546
0 1:0.273981 2:-1.15188
0 1:3.97224 2:-1.16451
0 1:0.158901 2:-2.11171
0 1:1.33934 2:-3.04579
0 1:-0.044431 2:2.83508
0 1:-3.45595 2:0.684438
0 1:2.77624 2:0.931558
0 1:-3.85985 2:2.81894
0 1:-1.35619 2:-2.04735
0 1:-1.36048 2:-1.00701
0 1:1.83591 2:-0.350458
0 1:3.46551 2:1.30257
0 1:0.701138 2:2.07343
0 1:-1.68904 2:4.93879
0 1:-2.74032 2:3.69907
0 1:1.69514 2:2.29628
0 1:0.382098 2:2.6035
0 1:0.7185 2:-1.76487
0 1:-2.19758 2:0.986074
0 1:2.09776 2:1.14869
0 1:3.59932 2:-0.869247
0 1:-1.33799 2:-0.508553
0 1:2.23801 2:-1.97253
0 1:-2.31063 2:0.049786
0 1:-1.8067 2:0.229836
0 1:0.405708 2:0.223956
0 1:0.837847 2:0.287092
0 1:2.10623 2:1.76075
0 1:-2.71078 2:0.30885
0 1:0.119312 2:0.502152
0 1:1.59679 2:3.21989
0 1:3.26807 2:-2.67463
0 1:2.16524 2:0.773491
0 1:2.04524 2:1.27754
0 1:1.09311 2:2.42992
0 1:0.0242257 2:-1.26151
0 1:-0.248084 2:2.04578
0 1:2.02406 2:1.80399
0 1:-3.8052 2:5.26479
0 1:2.14943 2:1.15066
0 1:-0.143073 2:-0.135025
0 1:1.29129 2:-0.332512
0 1:2.95825 2:1.25954
0 1:3.18216 2:-0.627427
0 1:0.329725 2:-2.79159
0 1:-0.362507 2:1.35548
0 1:-1.34596 2:1.0787
